??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
binzela,[b??z?la],Substantivo,Forro (Santome),Beringelabranca. Solanum blagaxtlôlô[bla?ga??tlolo](expr.)Transpirar.,Beringelabranca,Solanum blagaxtlôlô[bla?ga??tlolo](expr.,Araujo & Hagemeijer (2013),
bisku,[?bisku],Substantivo,Forro (Santome),Visgo. rilha.,,,Araujo & Hagemeijer (2013),
bisu,[?bisu],Substantivo,Forro (Santome),Animal. 2.Ave. 3.Bicho.4.Pássa- blaji[bla??i](top.)Brasil. B,,,Araujo & Hagemeijer (2013),
ro. blaji,[bla??i],Substantivo,Forro (Santome),Brasileiro.,,,Araujo & Hagemeijer (2013),
bisu-witxi,[?bisu?wit?i],Substantivo,Forro (Santome),Infestaçãodeácarosque blaku[?blaku](n.)1.Buraco. 2.Poço.,,,Araujo & Hagemeijer (2013),
to. blanku,[?bl?k? u],Adjetivo,Forro (Santome),Branco.,,,Araujo & Hagemeijer (2013),
bixdona,[bi??d?na],Substantivo,Forro (Santome),Bisavó. blanku[?bl?k? u](n.)Branco.,,,Araujo & Hagemeijer (2013),
bixdonu,[bi??d?nu],Substantivo,Forro (Santome),Bisavô. blankufenene[?bl?k? uf?n??n?](expr.)Branquíssimo.,,,Araujo & Hagemeijer (2013),
bixi,[bi??i],Verbo,Forro (Santome),Vestir(-se). blasa[bla?sa](v.)Abraçar.,,,Araujo & Hagemeijer (2013),
bixifyefyefye,[bi??ifj?fj??fj?],Expressão,Forro (Santome),Vestirelegante- blasa[?blasa](n.)Braça.,,,Araujo & Hagemeijer (2013),
bixka,[?bi?ka],Substantivo,Forro (Santome),Bisca. blata[?blata](n.)Barata.,,,Araujo & Hagemeijer (2013),
bixketa,[bi??k?ta],Substantivo,Forro (Santome),Bicicleta. blatu[?blatu](adj.)Barato.,,,Araujo & Hagemeijer (2013),
bixkôkô,[bi??koko],Ideofone,Forro (Santome),Cf.djinabixkôkô. blaza[?blaza](n.)Brasa.,,,Araujo & Hagemeijer (2013),
bixku,[?bi?ku],Substantivo,Forro (Santome),Visgo.Cf.bisku. ble[?bl?](n.)Lugarremoto.,,,Araujo & Hagemeijer (2013),
bixneta,[bi??n?ta],Substantivo,Forro (Santome),Bisneta. ble-d’omali[?bl?d??mali](n.)Altomar.,,,Araujo & Hagemeijer (2013),
bixnetu,[bi??n?tu],Substantivo,Forro (Santome),Bisneto. blêgê[ble?ge](v.)1.Moer. 2.Pilarizakentxi.,,,Araujo & Hagemeijer (2013),
bixô,[bi??o],Substantivo,Forro (Santome),Bicho-do-pé. Tungapenetrans. blêgidu[ble?gidu](adj.)1.Moído. 2.Pilado.,Bicho-do-pé,Tungapenetrans.,Araujo & Hagemeijer (2013),
bizôli,[bizo?li],Substantivo,Forro (Santome),Criança. 2.Miúdo. bligason[bliga?sõ](n.)Obrigação.,,,Araujo & Hagemeijer (2013),
blabadu,[bla?badu],Substantivo,Forro (Santome),Barbudo. 2.Embarbado. bligi[?bligi](n.)Brigue.,,,Araujo & Hagemeijer (2013),
blaga,[bla?ga],Verbo,Forro (Santome),"Arregalar. 2.Demolir.3.Desfa- blu[?blu](conj.)1.Ora…ora.Bluêsaben,bluêsa",,,Araujo & Hagemeijer (2013),
grimas. blublublu,[blublu?blu],Substantivo,Forro (Santome),Pressa. 2.Precipitação.,,,Araujo & Hagemeijer (2013),
blagadu,[bla?gadu],Adjetivo,Forro (Santome),Arregalado. 2.Desfeito. lar.4.Repuxaroprepúcio.,,,Araujo & Hagemeijer (2013),
blaga mpenampena,[bla?ga mp??nãp??na],Expressão,Forro (Santome),blugu[blu?gu](v.)1.Resvalar. 2.Tropeçar.,,,Araujo & Hagemeijer (2013),
completo. bluku,[?bluku],Adjetivo,Forro (Santome),Cruel. 2.Feroz. 3.Inclemen-,,,Araujo & Hagemeijer (2013),
blaga-ubwa,[bla?gubwa],Substantivo,Forro (Santome),Insignificante. 2.Pes- te. 4.Malvado. 5.Mau. 6.Terrível.,,,Araujo & Hagemeijer (2013),
blutu,[?blutu],Adjetivo,Forro (Santome),Bruto. 2.Ignorante. boka-doxi[?b?ka?d??i](adj.)1.Comapetite. 2.Sim-,,,Araujo & Hagemeijer (2013),
bluxa,[?blu?a],Substantivo,Forro (Santome),Bruxa. 2.Feiticeira. pático.,,,Araujo & Hagemeijer (2013),
bluxadu,[blu??adu],Adjetivo,Forro (Santome),Aborrecido. 2.Falinhasmansas. 3.Lisonjeador. 4.Sedutor.,,,Araujo & Hagemeijer (2013),
bluxakala,[blu??aka?la],Expressão,Forro (Santome),Estardemauhu- bokadu[b??kadu](n.) 1.Bocado. 2.Bocado. Ritu-,,,Araujo & Hagemeijer (2013),
bô,[?bo],Pronome interrogativo,Forro (Santome),Onde?Êlêbô?Ondeestáele? introduznabocadecadaparticipanteumacolhercom,,,Araujo & Hagemeijer (2013),
bobla,[?b?bla],Substantivo,Forro (Santome),Abóbora. 2.Aboboreira. boka-ple[?b?ka?pl?](n.)Bocadapraia.,,,Araujo & Hagemeijer (2013),
a-pligitu,[?b?kapli?gitu],Substantivo,Forro (Santome),Restos. 2.Sobe-,,,Araujo & Hagemeijer (2013),
