??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
IaKabla,[i?a?kabla],Topônimo,Forro (Santome),IlhéudasCabras. rapessoadopluralcomafunçãodecomplementodi-,,,Araujo & Hagemeijer (2013),
IaLôla,[i?a?lola],Topônimo,Forro (Santome),IlhéudasRolas. reto.Ntênd’inennalakafla.Ouvi-osláafalar.,,,Araujo & Hagemeijer (2013),
identxidadji,[i?d?t?i?dad?i],Substantivo,Forro (Santome),Identidade. ingleva[??gl?va](adj.)Gémeo.,,,Araujo & Hagemeijer (2013),
idêya,[i?deja],Substantivo,Forro (Santome),Ideia. ingleva[??gl?va](n.)Gémeo.,,,Araujo & Hagemeijer (2013),
idjogo,[i?d??g?],Substantivo,Forro (Santome),"Idjogo. Pratotípico,àbasede inhe [?i??] (n.)",Idjogo,"Pratotípico,àbasede inhe [?i??] (n.",Araujo & Hagemeijer (2013),
idligu,[?idligu],Substantivo,Forro (Santome),Fumo.Cf.igligu. inhe-bôbô[?i??bo?bo](n.) Pimenta-da-Guiné. Xylo-,,,Araujo & Hagemeijer (2013),
idu,[?idu],Substantivo,Forro (Santome),Piolho. piaaethiopica.,,,Araujo & Hagemeijer (2013),
idu-idu,[?idu?idu],Substantivo,Forro (Santome),Silva-da-praia.Caesalpinia inhe-pletu[?i???pl?tu](n.) Unha-preta. Polyalthia,,,Araujo & Hagemeijer (2013),
Ie,[?i?],Topônimo,Forro (Santome),IlhadoPríncipe. injinhêlu[?????elu](n.)Engenheiro.,,,Araujo & Hagemeijer (2013),
igleva,[i?gl?va],Substantivo,Forro (Santome),Gémeo.Cf.ingleva. ino[?in?](adv.)Não.,,,Araujo & Hagemeijer (2013),
igligu,[i?gligu],Substantivo,Forro (Santome),Fumaça. 2.Fumo. inon[?in?]? (adv.)Não.Cf.ino.,,,Araujo & Hagemeijer (2013),
igligu-kwami,[i?gligu?kwami],Substantivo,Forro (Santome),Fumonegro. intima[?ti?ma](v.)Intimar.,,,Araujo & Hagemeijer (2013),
ijiji,[?i?i?i],Substantivo,Forro (Santome),Arrepio. inxpetôlu[??p??tolu](n.)Inspetor.,,,Araujo & Hagemeijer (2013),
voumatar-vostodos. ixi,[?i?i],Pronome demonstrativo,Forro (Santome),Aquela. 2.Aquelas. 3.Aquele.Bô,,,Araujo & Hagemeijer (2013),
inê,[?ine],Pronome pessoal,Forro (Santome),Cf.inen. katomaixikubwababô.Tupegasaquelequeteagra-,,,Araujo & Hagemeijer (2013),
inen,[?in?],Artigo,Forro (Santome),As. 2.Os.Inenmosu.Osrapa- dar. 4.Aqueles. 5.Atal. 6.Astais. 7.Otal. 8.Os,,,Araujo & Hagemeijer (2013),
ja,[??a],Substantivo,Forro (Santome),Dia.Cf.dja. jibon[?i?bõ](n.)1.Casaco. 2.Gibão.Cf.djibon.,,,Araujo & Hagemeijer (2013),
jaba,[??aba],Onomatopeia,Forro (Santome),Somdocacete. jidali[?i?dali](n.)Dedal.Cf.djidali.,,,Araujo & Hagemeijer (2013),
jabu,[??abu],Substantivo,Forro (Santome),Diabo.Cf.djabu. jiji[??i?i](adj.)1.Cerrado. 2.Denso. 3.Impenetrá-,,,Araujo & Hagemeijer (2013),
jadlin,[?a?dl?],Substantivo,Forro (Santome),Jardim. vel.,,,Araujo & Hagemeijer (2013),
jagli,[??agli],Substantivo,Forro (Santome),Sarna jijimpli[?i???pli](n.)1.Gengibre.Zingiberofficinalis.,,,Araujo & Hagemeijer (2013),
jagu,[??agu],Substantivo,Forro (Santome),Azar. 2.Gengiva.,,,Araujo & Hagemeijer (2013),
ja-jingu,[?a???gu],Substantivo,Forro (Santome),Domingo.Cf.dja-djingu. jikitxi[??ikit?i](adj.)1.Castiço. 2.Genuíno. 3.Ru-,,,Araujo & Hagemeijer (2013),
jaka,[??aka],Substantivo,Forro (Santome),Jaca. 2.Jaqueira.Artocarpushe- de.Cf.djikitxi.,,,Araujo & Hagemeijer (2013),
terophyla. jilêra,[?i?lera],Substantivo,Forro (Santome),Frigorífico. 2.Geladeira.,,,Araujo & Hagemeijer (2013),
jakare,[?aka???],Substantivo,Forro (Santome),Crocodilo. jimbli[???bli](n.)Gengibre.Cf.jijimpli.,,,Araujo & Hagemeijer (2013),
jalu,[??alu],Substantivo,Forro (Santome),Jarro.Cf.djalu. jimboa[??b??a](n.)Jimboa.Cf.djimboa.,,,Araujo & Hagemeijer (2013),
jamba,[???b? a],Substantivo,Forro (Santome),Liamba.Cf.lyamba. jimola[?i?m?la](n.)Esmola.Cf.djimola.,,,Araujo & Hagemeijer (2013),
jambi,[????bi],Substantivo,Forro (Santome),Djambi.Cf.djambi. jina[??ina](prep.)1.De. 2.Desde.Cf.djina.,,,Araujo & Hagemeijer (2013),
jamblê,[????ble],Substantivo,Forro (Santome),Verdete. jinebla[?i?n?bla](n.)Genebra.Cf.djinebla.,,,Araujo & Hagemeijer (2013),
jampla,[???p? la],Adjetivo,Forro (Santome),Grande. jinga[???ga](v.)1.Abanar. 2.Agitar(-se). 3.Balan-,,,Araujo & Hagemeijer (2013),
janêlu,[?a?nelu],Substantivo,Forro (Santome),Janeiro. 2.Velhice. çar. 4.Gingar. 5.Mover-se. 6.Sacudir. Cf. djin-,Sacudir,Cf.,Araujo & Hagemeijer (2013),
janja,[?????a],Advérbio,Forro (Santome),Apressado. 2.Depressa. 3.Ra- ga.,,,Araujo & Hagemeijer (2013),
pidamente.Cf.djandjan. jingadô,[??ga?do],Substantivo,Forro (Santome),Cordoeiro.,,,Araujo & Hagemeijer (2013),
janta,[????ta],Substantivo,Forro (Santome),Janta.Cf.zanta. jingantxi[???g?t??i](n.)Gigante.,,,Araujo & Hagemeijer (2013),
jatu,[??atu],Substantivo,Forro (Santome),Jato. jinku[???ku](n.)1.Chapadezinco. 2.Telhadezinco.,,,Araujo & Hagemeijer (2013),
jê,[??e],Verbo,Forro (Santome),Apanhar. 2.Buscar. 3.Recolher.Cf. 3.Zinco.,,,Araujo & Hagemeijer (2013),
djê. jinola,[?i?n?la],Advérbio,Forro (Santome),Desdeessaaltura. 2.Desde,,,Araujo & Hagemeijer (2013),
jela,[???la],Verbo,Forro (Santome),Gelar. sempre. 3.Sempre.Cf.djinola.,,,Araujo & Hagemeijer (2013),
jelentxi,[???l?t??i],Substantivo,Forro (Santome),Gerente. jintxin[???t??](adj.) 1.Gentio. 2.Não-batizado.,,,Araujo & Hagemeijer (2013),
jêlu,[??elu],Substantivo,Forro (Santome),Dinheiro.Cf.djêlu. 2.Gelo. 3.Pagão.,,,Araujo & Hagemeijer (2013),
jenu,[???nu],Substantivo,Forro (Santome),Gênio. 2.Temperamento. jipi[?i?pi](n.)Jipe.,,,Araujo & Hagemeijer (2013),
jera,[???ra],Verbo,Forro (Santome),Gerar. 2.Reproduzir. jita[??ita](n.)Jita.Boaedonlineatusbedriagae.,,,Araujo & Hagemeijer (2013),
jesu,[???su],Substantivo,Forro (Santome),Cachimbodebarro. 2.Gesso. jizu[?i?zu](interj.)1.AiJesus! 2.Jesus!,,,Araujo & Hagemeijer (2013),
jêtu,[??etu],Substantivo,Forro (Santome),Jeito. Jizu[?i?zu](n.)Jesus,Jeito,Jizu[?i?zu](n.,Araujo & Hagemeijer (2013),
ji,[??i],Preposição,Forro (Santome),De.Cf.dji. jogo[???g?](n.)Idjogo.Cf.idjogo.,,,Araujo & Hagemeijer (2013),
jiba,[??iba],Substantivo,Forro (Santome),Elefantíase. 2.Erisipela. jonali[???nali](n.)Jornal.,,,Araujo & Hagemeijer (2013),
jibela,[?i?b?la],Substantivo,Forro (Santome),Algibeira. 2.Bolso.Cf.djibe- julhu[??u?u](n.)Julho.,,,Araujo & Hagemeijer (2013),
la. junhu,[????u],Substantivo,Forro (Santome),Junho.,,,Araujo & Hagemeijer (2013),
ka,[?ka],Partícula,Forro (Santome),Partículademodo. Xiêkatava kada[ka?da](v.)Escaldar.,Partículademodo,Xiêkatava kada[ka?da](v.,Araujo & Hagemeijer (2013),
kaba,[ka?ba],Advérbio,Forro (Santome),Acertadamente. 2.Atéofim. kadela[ka?d?la](n.)1.Ancas. 2.Bunda.3.Cadeira.,,,Araujo & Hagemeijer (2013),
kabadu,[ka?badu],Adjetivo,Forro (Santome),Acabado. 2.Semdinhei- kadu[?kadu](n.)Caldo.,,,Araujo & Hagemeijer (2013),
ro. kafe,[ka?f?],Substantivo,Forro (Santome),Café. 2.Cafezeiro.Coffeaarabi-,,,Araujo & Hagemeijer (2013),
kabaku,[ka?baku],Substantivo,Forro (Santome),Serragem. ca.,,,Araujo & Hagemeijer (2013),
kabaku-lixi,[ka?baku?li?i],Substantivo,Forro (Santome),Catarroseco. kafe-d’ôbô[ka?f?do?bo](n.) Café-do-mato. Bertiera,,,Araujo & Hagemeijer (2013),
kabalolo,[ka?bal??l?],Expressão,Forro (Santome),Acabarcompletamen- racemosa.,,,Araujo & Hagemeijer (2013),
kabalu,[ka?balu],Substantivo,Forro (Santome),Cavalo. lata. 2.Mulato.,,,Araujo & Hagemeijer (2013),
kabalu-sun-dêsu,[ka?balu?s??desu],Substantivo,Forro (Santome),Cavalinho- kafungu[ka?f?gu](n.)Alimentopreparadoàbasede,,,Araujo & Hagemeijer (2013),
kabamentu,[kaba?m?tu],Substantivo,Forro (Santome),Acabamento. 2.Parte kafunhe[kafu???](adj.)Raquítico.,,,Araujo & Hagemeijer (2013),
final. kafunhe,[kafu???],Substantivo,Forro (Santome),Cabra-loira.Lucanuscervus.,,,Araujo & Hagemeijer (2013),
kabaplepleple,[ka?bapl?pl??pl?],Expressão,Forro (Santome),Esgotar(- kain[ka??](adj.)1.Avarento. 2.Mão-de-vaca. 3.So-,,,Araujo & Hagemeijer (2013),
kabasu,[ka?basu],Substantivo,Forro (Santome),Cabaz. 2.Embrulho. 3.Hí- kajamanga[ka?a?m?g? a](n.)1.Cajá-manga. 2.Cajá-,,,Araujo & Hagemeijer (2013),
kabêlu,[ka?belu],Substantivo,Forro (Santome),Cabelo. kaji-vapô[?ka?iva?po](n.)Cais.,,,Araujo & Hagemeijer (2013),
kabêlu-limi,[ka?belu?limi],Substantivo,Forro (Santome),Cabelodebebê. kaju[ka??u](n.) 1.Caju. 2.Cajueiro. Anacardium,,,Araujo & Hagemeijer (2013),
kabêsa,[ka?besa],Substantivo,Forro (Santome),Cabeça. occidentale.,,,Araujo & Hagemeijer (2013),
kabêsada,[kabe?sada],Substantivo,Forro (Santome),Cabeçada. kaka[?kaka](interj.)Caramba!Cf.akaka.,,,Araujo & Hagemeijer (2013),
kabêsa-dêfuntu,[ka?besade?f?tu],Substantivo,Forro (Santome),Caveira. kakaw[ka?kaw](n.)Cacau.Cf.kakayu.,,,Araujo & Hagemeijer (2013),
kabêsa-kôlê,[ka?besa ko?le],Substantivo,Forro (Santome),Pensamento. kakayu[ka?kaju](n.)1.Cacau. 2.Cacaueiro.Theo-,,,Araujo & Hagemeijer (2013),
kabêsa-nglandji,[ka?besa??gl?d? ?i],Substantivo,Forro (Santome),Tartaruga-ca- kakayu-ntêlu[ka?kaju?ntelu](n.)Cápsuladocacau.,,,Araujo & Hagemeijer (2013),
kaki,[ka?ki],Interjeição,Forro (Santome),Caramba!Cf.akaka.,,,Araujo & Hagemeijer (2013),
kabêsawôlôwôlô,[ka?besawo?lowo?lo],Expressão,Forro (Santome),Cabe- kaki[ka?ki](n.)1.Jaguareçá.Holocentrusascensio-,,,Araujo & Hagemeijer (2013),
kabidela,[kabi?d?la],Substantivo,Forro (Santome),Cabidela. 4.Caquizeiro.Diospyroskaki. 5.Dióspiro. 6.Dios-,,,Araujo & Hagemeijer (2013),
kaboka,[ka?b?ka],Verbo,Forro (Santome),Calar(-se). kaku[?kaku](n.)1.Caco. 2.Fragmento.,,,Araujo & Hagemeijer (2013),
kabokapipipi,[ka?b?kapipi?pi],Expressão,Forro (Santome),Caluda! kakunda[ka?k?da](adj.)1.Bossa. 2.Corcunda.,,,Araujo & Hagemeijer (2013),
kabôkô,[ka?boko],Substantivo,Forro (Santome),Alicerce. kala[?kala](n.)1.Cara. 2.Rosto.,,,Araujo & Hagemeijer (2013),
kabu,[?kabu],Substantivo,Forro (Santome),Cabo. 2.Cabo(patentemilitar). kala[ka?la](v.)Escalaropeixe.,,,Araujo & Hagemeijer (2013),
kabuvêdê,[?kabu?vede],Adjetivo,Forro (Santome),Cabo-verdiano. na.,,,Araujo & Hagemeijer (2013),
kada,[?kada],Quantificador,Forro (Santome),Cada. kaladu[ka?ladu](adj.)1.Calado. 2.Escaladoopei-,,,Araujo & Hagemeijer (2013),
kalakala,[?kala?kala],Verbo,Forro (Santome),Capinar. 2.Carpir. kana[?kana](n.)Fanfarronice.,,,Araujo & Hagemeijer (2013),
kalambola,[kal???b?la],Substantivo,Forro (Santome),Carambola. 2.Caram- kana[ka?na](n.)Cana-de-açúcar.Saccharumoffici-,,,Araujo & Hagemeijer (2013),
kalapitu,[kala?pitu],Substantivo,Forro (Santome),Carrapito. kana-blanku[ka?na?bl?k? u](n.) Cana-de-açúcar. Cf.,Cana-de-açúcar,Cf.,Araujo & Hagemeijer (2013),
kalema,[ka?l?ma],Substantivo,Forro (Santome),Agitação. 2.Carestia. 3.Es- kana.,,,Araujo & Hagemeijer (2013),
kaleta,[ka?l?ta],Adjetivo,Forro (Santome),Careta. 2.Desgraçado. kanalemi[kana?l?mi](adj.)Franzino.,,,Araujo & Hagemeijer (2013),
kalêxidu,[kale??idu],Adjetivo,Forro (Santome),Sinusite. kana-makaku[ka?nama?kaku](n.)Canasilvestre.,,,Araujo & Hagemeijer (2013),
kali,[?kali],Pronome interrogativo,Forro (Santome),Qual. kanan[ka?n?]? (n.)Cana-de-açúcar.Cf.kana,,,Araujo & Hagemeijer (2013),
kalikali,[?kali?kali],Substantivo,Forro (Santome),Aposta. siafistula. 2.Chuva-de-ouro.Cassiafistula.,,,Araujo & Hagemeijer (2013),
kalima,[kali?ma],Substantivo,Forro (Santome),Tabacoempó. kana-pletu[ka?na?pl?tu](n.)Cana-de-açúcar.Cf.ka-,,,Araujo & Hagemeijer (2013),
kaliptu,[ka?liptu],Substantivo,Forro (Santome),Eucalipto.Eucalyptusglobulus. na.,,,Araujo & Hagemeijer (2013),
kaminza,[ka?m?za],Substantivo,Forro (Santome),Camisa. kanidu[ka?nidu](n.)Caniço.,,,Araujo & Hagemeijer (2013),
kaminzola,[kam??z?la],Substantivo,Forro (Santome),Camisola. kanimbôtô[kan??boto](interj.)Caramba!,,,Araujo & Hagemeijer (2013),
kamiza,[ka?miza],Substantivo,Forro (Santome),Camisa.Cf.kaminza. kanimbôtô[kan??boto](n.)1.Atrapalhado. 2.Tolo.,,,Araujo & Hagemeijer (2013),
kamizada,[kami?zada],Substantivo,Forro (Santome),Brincadeira. kanivêtê[kani?vete](n.)Canivete.,,,Araujo & Hagemeijer (2013),
kamizola,[kami?z?la],Substantivo,Forro (Santome),Camisola.Cf.kaminzola. kankankan[k?k? ???k?]? (id.) 1.Cf. lizukankankan.,,,Araujo & Hagemeijer (2013),
kampanha,[k???p??? a],Substantivo,Forro (Santome),Campanhaeleitoral. 2.Cf. têdukankankan. 3.Cf. zedukankankan.,,,Araujo & Hagemeijer (2013),
kampon,[k???põ],Advérbio,Forro (Santome),Enorme. 4.Cf.zulukankankan.,,,Araujo & Hagemeijer (2013),
kampu,[?k?p? u],Substantivo,Forro (Santome),Campo. kansadu[k???sadu](adj.)Cansado.,,,Araujo & Hagemeijer (2013),
kamunsela,[kam??s?la],Substantivo,Forro (Santome),Tecelão-grandedeSão kanta[k???ta](v.)Cantar.,,,Araujo & Hagemeijer (2013),
Tomé.Ploceusgrandis.Cf.kamusela. kanta,[k???ta],Substantivo,Forro (Santome),Cantiga.,,,Araujo & Hagemeijer (2013),
kamusela,[kamu?s?la],Substantivo,Forro (Santome),Tecelão-grandedeSãoTo- kantadô[k?t?a?do](n.)Cantor.,,,Araujo & Hagemeijer (2013),
mé.Ploceusgrandis. kantêlu,[k???telu],Substantivo,Forro (Santome),Canteiro.,,,Araujo & Hagemeijer (2013),
kamuzenze,[kamuz???z?],Adjetivo,Forro (Santome),Definhado. kantlela[k???tl?la](n.)1.Cantinho. 2.Canto. 3.Es-,,,Araujo & Hagemeijer (2013),
kamya,[ka?mja],Pronome interrogativo,Forro (Santome),Onde. quinadacasa. 4.Estantedeparede.,,,Araujo & Hagemeijer (2013),
kamya-fe-zawa,[ka?mja?f??zawa],Substantivo,Forro (Santome),Sexo(feminino nosvelórios. 2.Cantor.,,,Araujo & Hagemeijer (2013),
kamyoneti,[kamj??n?ti],Substantivo,Forro (Santome),Camião. 2.Cami- kantu[?k?t?u](int.)Quanto.,,,Araujo & Hagemeijer (2013),
nhão. kantxin,[k???t??],Substantivo,Forro (Santome),Cantinho. 2.Canto.,,,Araujo & Hagemeijer (2013),
kantxina,[k???t??na],Substantivo,Forro (Santome),Cantina. kata-nglandji [?kata ??gl?d? ?i] (n.) Kata-nglandji.,,,Araujo & Hagemeijer (2013),
kanu,[?kanu],Substantivo,Forro (Santome),Cano. Rauwolfiacaffra.,Cano,Rauwolfiacaffra.,Araujo & Hagemeijer (2013),
kanvi,[?k?v? i],Substantivo,Forro (Santome),"Palhadoandim,depoisdeextraídoo kata-pikina[?katapi?kina](n.) Kata-pikina. Rauwol-",,,Araujo & Hagemeijer (2013),
kanwa,[?kanwa],Substantivo,Forro (Santome),Canoa. 2.Canoaondesees- katoliku[ka?t?liku](n.)Católico.,,,Araujo & Hagemeijer (2013),
ma. katôzê,[ka?toze],Numeral,Forro (Santome),Catorze.,,,Araujo & Hagemeijer (2013),
kanxika,[k????ika],Substantivo,Forro (Santome),Canjica. katuxu[ka?tu?u](n.)Cartucho.,,,Araujo & Hagemeijer (2013),
kanza,[k???za],Substantivo,Forro (Santome),Reco-reco. katxibu[ka?t?ibu](adj.)1.Cativo. 2.Escravo.3.Pre-,,,Araujo & Hagemeijer (2013),
kapa,[?kapa],Substantivo,Forro (Santome),Capa. 2.Manto. so.,,,Araujo & Hagemeijer (2013),
kapadu,[ka?padu],Adjetivo,Forro (Santome),Capado. 2.Castrado. katxina-gêsa[ka?t?ina?gesa](n.)Katxina-gêsa.Clau-,,,Araujo & Hagemeijer (2013),
kapwele,[kapw??l?],Substantivo,Forro (Santome),Armadilhautilizadaparacap- kaxta[?ka?ta](n.)1.Casta. 2.Espécie.3.Qualidade.,,,Araujo & Hagemeijer (2013),
karu,[?ka?u],Adjetivo,Forro (Santome),Caro. 2.Dispendioso. kaxtanha[ka??t??? a](n.)Castanha.,,,Araujo & Hagemeijer (2013),
karu-di-plasa,[?ka?udi?plasa],Substantivo,Forro (Santome),Táxi. caju.,,,Araujo & Hagemeijer (2013),
kasa,[?kasa],Substantivo,Forro (Santome),Caça. kaxtelu[ka??t?lu](n.)Castelo.,,,Araujo & Hagemeijer (2013),
kasadô,[kasa?do],Substantivo,Forro (Santome),Caçador. kaxtigu[ka??tigu](n.)Castigo.,,,Araujo & Hagemeijer (2013),
kasi,[?kasi],Substantivo,Forro (Santome),Cálice. kaxtiku[?ka?tiku](n.)Pomadacáustica.,,,Araujo & Hagemeijer (2013),
kasku,[?kasku],Substantivo,Forro (Santome),Capacidade. 2.Caspa. 3.Cére- kaxupa[ka??upa](n.)Cachupa.,,,Araujo & Hagemeijer (2013),
bro. kaya,[ka?ja],Verbo,Forro (Santome),Caiar. 2.Encalhar.,,,Araujo & Hagemeijer (2013),
kasô,[ka?so],Substantivo,Forro (Santome),Cachorro. 2.Cão.Canislupusfa- kayadu[ka?jadu](adj.)1.Caiado. 2.Encalhado.,,,Araujo & Hagemeijer (2013),
miliaris. kaza,[ka?za],Substantivo,Forro (Santome),Casamento.,,,Araujo & Hagemeijer (2013),
kasô-dêsu,[ka?so?desu],Substantivo,Forro (Santome),Criança. kaza[ka?za](v.)Casar(-se).,,,Araujo & Hagemeijer (2013),
kasô-montxa,[ka?so?mõt?a],Substantivo,Forro (Santome),Cãodecaça. kaza-blanku[ka?za?bl?k? u](n.)Casamentoàmodaeu-,,,Araujo & Hagemeijer (2013),
kasô-mwala,[ka?so?mwala],Substantivo,Forro (Santome),Cadela. ropeia.,,,Araujo & Hagemeijer (2013),
kason,[ka?sõ],Substantivo,Forro (Santome),Caixão. kazadu[ka?zadu](adj.)Casado.,,,Araujo & Hagemeijer (2013),
kasu,[?kasu],Adjetivo,Forro (Santome),Avarento. 2.Mão-de-vaca. kazamentu[kaza?m?tu](n.)Casamento.,,,Araujo & Hagemeijer (2013),
kaswada,[ka?swada],Substantivo,Forro (Santome),Troça. 2.Zombaria. kazu[?kazu](n.)Caso.,,,Araujo & Hagemeijer (2013),
kata,[?kata],Substantivo,Forro (Santome),"Carta. 2.Colherdemadeira,ge- kazumbi[kaz??bi](n.)1.Alma. 2.Defunto. 3.Ma-",,,Araujo & Hagemeijer (2013),
xi. ke,[?k?],Substantivo,Forro (Santome),Casa. 2.Ninho.,,,Araujo & Hagemeijer (2013),
kata-kiyô,[?kataki?jo],Substantivo,Forro (Santome),Kata-kiyô.Voacangalemo- kebla[?k?bla](n.)Gargalhada.,,,Araujo & Hagemeijer (2013),
sii. kebla,[k??bla],Verbo,Forro (Santome),Fraturar. 2.Partir. 3.Que-,,,Araujo & Hagemeijer (2013),
kata-kwene,[?katakw??n?],Substantivo,Forro (Santome),Kata-kwene.Rauwol- brar.,,,Araujo & Hagemeijer (2013),
fiacaffra. kebladizê,[?k?bladi?ze],Expressão,Forro (Santome),Ajoelhar.,,,Araujo & Hagemeijer (2013),
katalu,[ka?talu],Substantivo,Forro (Santome),Catarro. kebladu[k??bladu](adj.)1.Partido. 2.Quebrado.,,,Araujo & Hagemeijer (2013),
kata-manginga,[?katam???g?ga],Substantivo,Forro (Santome),Kata-manginga. keblakaneku[k??blaka?n?ku](expr.)Beberemexces-,,,Araujo & Hagemeijer (2013),
keblankana,[k?bl???kana],Substantivo,Forro (Santome),Bico-de-lacre.Estril- kêxitu[ke??itu](int.)Onde.,,,Araujo & Hagemeijer (2013),
keblankana-pletu,[k?bl???kana?pl?tu],Substantivo,Forro (Santome),Freirinha. 3.Questão.,,,Araujo & Hagemeijer (2013),
Lonchuracucullata. keza-mwala,[k??za ?mwala],Substantivo,Forro (Santome),Vassourinha-de-,,,Araujo & Hagemeijer (2013),
keblasono,[k??blas??n?],Expressão,Forro (Santome),Dormitar. botão.Scopariadulcis.,,,Araujo & Hagemeijer (2013),
keblawiniwini,[k??blawi?niwi?ni],Expressão,Forro (Santome),Fragmentar. keza-ome[k??za??m?](n.)Vassourinha-doce.Borre-,,,Araujo & Hagemeijer (2013),
keblazegezege,[k??blaz??g?z??g?],Expressão,Forro (Santome),Partirpor riaverticillata.,,,Araujo & Hagemeijer (2013),
keda,[?k?da],Substantivo,Forro (Santome),Luta-livre. 2.Queda. kia[ki?a](part.) Partículaprospectiva. Nkiakloga.,Partículaprospectiva,Nkiakloga.,Araujo & Hagemeijer (2013),
kedadji,[k??dad?i],Substantivo,Forro (Santome),Claridade. Euiaescorregando.,Claridade,Euiaescorregando.,Araujo & Hagemeijer (2013),
kedadji-nwa,[k??dad?i?nwa],Substantivo,Forro (Santome),Luar. kia[ki?a](v.)1.Criar. 2.Educar.,,,Araujo & Hagemeijer (2013),
kedaji,[k??da?i],Substantivo,Forro (Santome),Claridade.Cf.kedadji. kiadô[kia?do](n.)1.Criador. 2.Protetor.,,,Araujo & Hagemeijer (2013),
kêdja,[?ke?d?a],Pronome interrogativo,Forro (Santome),Quando. kiadu[?kiadu](adj.)1.Criado. 2.Educado.,,,Araujo & Hagemeijer (2013),
kega,[?k?ga],Substantivo,Forro (Santome),Bagagem. 2.Carga. kidadu[ki?dadu](n.)Cuidado.Cf.kwidadu.,,,Araujo & Hagemeijer (2013),
kêkamya,[?ke?kamja],Pronome interrogativo,Forro (Santome),Onde. kidalê[kida?le](interj.)1.Acudam! 2.Aimeudeus!,,,Araujo & Hagemeijer (2013),
kêkwa,[ke?kwa],Pronome interrogativo,Forro (Santome),Oque. 3.Aquid’elrei! 4.Boa! 5.Credo! 6.Caramba!,,,Araujo & Hagemeijer (2013),
kela,[?k?la],Advérbio,Forro (Santome),Etal. 7.Eia! 8.Socorro!,,,Araujo & Hagemeijer (2013),
kema,[k??ma],Verbo,Forro (Santome),Queimar. kilambu[kil???bu](n.)1.Amaneiradeasmulheresdo-,,,Araujo & Hagemeijer (2013),
t k a e r n . tadu,[k???tadu],Adjetivo,Forro (Santome),Aquecido. k,,,Araujo & Hagemeijer (2013),
kentamina,[k???ta?mina],Expressão,Forro (Santome),Aconchegarobebê. kinda[k??da](n.)Cestinho.,,,Araujo & Hagemeijer (2013),
kentazuzuzu,[k???tazuzu?zu],Expressão,Forro (Santome),Sobreaquecer. kingabô[?k?ga?bo](expr.)1.Estásmarcado! 2.Tu,,,Araujo & Hagemeijer (2013),
kentula,[k???tula],Substantivo,Forro (Santome),Aquecimento. 2.Calor. quemeaguardes!,,,Araujo & Hagemeijer (2013),
kentxi,[?k?t?i],Adjetivo,Forro (Santome),Quente. 2.Voluptuoso. kinhentu[k????tu](num.)Quinhentos.,,,Araujo & Hagemeijer (2013),
kentxizuzuzu,[?k?t?izuzu?zu],Expressão,Forro (Santome),Quentíssimo. kinhon[k???õ](n.)1.Pedaço. 2.Pênis. 3.Quinhão.,,,Araujo & Hagemeijer (2013),
kêola,[?ke??la],Pronome interrogativo,Forro (Santome),Quando. 2.Quehoras. 4.Testículos.,,,Araujo & Hagemeijer (2013),
kêsê,[ke?se],Verbo,Forro (Santome),Esquecer(-se). kinji[?k??i](num.)Quinze.,,,Araujo & Hagemeijer (2013),
ke-sinema,[?k?si?n?ma],Substantivo,Forro (Santome),Cinema. kinta-fela[?k?ta?f?la](n.)Quinta-feira.,,,Araujo & Hagemeijer (2013),
ke-sôlê,[?k?so?le],Substantivo,Forro (Santome),Casadesolteiro. kinte[k??t?](n.)1.Cerca. 2.Quintal.,,,Araujo & Hagemeijer (2013),
ke-taba,[?k??taba],Substantivo,Forro (Santome),Casademadeira. kinte-môlê[k??t??mole](n.)Lugardovelório.,,,Araujo & Hagemeijer (2013),
ketekete,[k??t?k??t?],Ideofone,Forro (Santome),Cf.veketekete. kinte-nglandji[k??t???gl?d? ?i](n.)Quintalondeascri-,,,Araujo & Hagemeijer (2013),
kêtêkêtê,[ke?teke?te],Substantivo,Forro (Santome),Briga. 2.Conflitoentre ançassãoorientadaspelosmaisvelhos.,,,Araujo & Hagemeijer (2013),
homememulher. kintu,[?k?tu],Numeral,Forro (Santome),Quinto.,,,Araujo & Hagemeijer (2013),
ke-tôdô,[?k?to?do],Substantivo,Forro (Santome),Localondepermaneciaa kintximon[?k?t?i?mõ](n.)Cachimbo.,,,Araujo & Hagemeijer (2013),
cadeextraçãodovinhodepalma. kiovo,[ki??v?],Verbo,Forro (Santome),Desanimar. 2.Entristecer.,,,Araujo & Hagemeijer (2013),
ke-vunvu,[?k?v??vu],Substantivo,Forro (Santome),Colmeia. 3.Esmorecer. 4.Murchar. 5.Recuar.,,,Araujo & Hagemeijer (2013),
kêxa,[?ke?a],Substantivo,Forro (Santome),Queixa. kiovodu[ki??v?du](adj.)1.Abatido. 2.Desanimado.,,,Araujo & Hagemeijer (2013),
kêxada,[ke??ada],Substantivo,Forro (Santome),Bochecha. 2.Mandíbula. kisama[kisa?ma](n.)Toca.,,,Araujo & Hagemeijer (2013),
