"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"kadyadu da vese","Expressão","dar errado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ivin","Substantivo","vinho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kafe","Substantivo","café","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ixila","Pronome","aquele","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kafe-baabu","Substantivo","café-do-mato","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ixima","Advérbio","em cima","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kajamanga","Substantivo","cajá-manga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ize","Substantivo","izaquente","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kakanhan","Substantivo","calcanhar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"izê","Substantivo","camarão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kakaw","Substantivo","cacau","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ize-izêtxi","Substantivo","izaquente de azeite","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ize-kukundya","Substantivo","izaquente de coco 2. expr. escalar peixe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ize-sukê","Substantivo","izaquente de açúcar kala pi 1. expr. calar-se completamente;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"izêtxi","Substantivo","azeite 2. expr. calar-se sem dar um pio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"jaka","Substantivo","jaca kala ubuka expr. calar a boca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"jentxi","Substantivo","gente kali, kwali pro. qual","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"jerasan","Substantivo","geração                             E04    kalipitu n. eucalipto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Jezu","Antropónimo","Jesus kalisan n. calção","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"jibôa","Substantivo","jimboa (Amaranthus caudatus)T09              kalô n. calor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Kalu","Antropónimo","Carlos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kama","Substantivo","cama","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"jonalixta","Substantivo","jornalista Kamaan top. Camarões","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Kampanha","Topónimo","Campanha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kamusela","Substantivo","kamuselaT06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kanafixtula","Substantivo","cássia-oficinal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaada","Verbo","escaldar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kanalizadô","Substantivo","encanador","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kanariw","Substantivo","canário","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaani vya","Expressão","dar cambalhotas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kanela","Substantivo","canela","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaata","Substantivo","carta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaaxi","Substantivo","classe 2. expr. colocar-se de cabeça para baixo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kabamentu","Substantivo","fim kanta v. cantar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kabe-gaani","Substantivo","tartaruga-cabeçuda                       kantora 1. pro. quando; 2. pro. que horas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kantu","Pronome","quanto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kabelu","Substantivo","cabelo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kantxiga","Substantivo","cantiga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kabese","Substantivo","cabeça","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kapintêw","Substantivo","carpinteiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kadaadu","Substantivo","escaldado. Prato típico elaborado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kara","Substantivo","carangueijo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
karamujo","Substantivo","caramujo ketekete ideo. cf. ve keteketeT12","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"karibu","Substantivo","tarântula de São Tomé                  ketê-ketê 1. adv. pouco a pouco;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kêy","Interjeição","nossa!","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaseda","Substantivo","mandíbula ki 1. conj. com; 2. conj. e (entre nomes);","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kasô","Substantivo","cachorro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"katôzê","Numeral","quatorze","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kidita","Verbo","acreditar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kavalêw","Substantivo","cavaleiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kiika","Substantivo","vagina","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kavalu","Substantivo","cavalo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kiima","Substantivo","clima","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaxi","Substantivo","casa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kilambu","Substantivo","vestimenta tradicional para","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaxi-gaani","Substantivo","casa-grande extração de vinho de palma","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kilometu","Substantivo","quilômetro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kaza","Verbo","casar kimi-peetu n. kimi-peetu","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kazaku","Substantivo","casaco (Newbouldia laevis)T09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kazamentu","Substantivo","casamento kimoni n. kimoni. Roupa tradicional de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ke","Partícula","forma reduzida de ka + weL04","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kinhentu","Numeral","quinhentos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"keba","Verbo","quebrar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kinji","Numeral","quinze","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"keba kitxi-kitxi","Expressão","estilhaçar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kinta-fya","Substantivo","quinta-feira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"keba winiwini","Expressão","estilhaçar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kintu","Numeral","quinto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"keba zegezege","Expressão","estilhaçar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kintxiba","Substantivo","cachimbo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kebankana-peetu","Substantivo","freirinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kiora","Pronome","quando                                   N02","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kêdê","Pronome","cada","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kiringa","Substantivo","filhote de macaco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kêê","Verbo","acreditar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kitôli","Substantivo","coruja","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"keka","Verbo","forma reduzida de ka + vikaL11","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"keletu","Substantivo","confirmação","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kitxi tololo","Expressão","muito pequeno","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kixtan","Substantivo","cristão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kyensê","Verbo","esquecer kize v. queria","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kyenta kaseda","Expressão","kizomba n. kizomba. Tipo de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kyentxi zuzuzu","Expressão","klipixi n. eclipse","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kô","Substantivo","cor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ko nho","Advérbio","nada","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kobo","Substantivo","cobra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kobo-ufya","Substantivo","cobra soá-soá                        kosan-usan n. coração-do-chão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kobo-usan","Substantivo","cobra gita                           kôsô n. coxa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kotada","Substantivo","corte","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kôdôni","Substantivo","codorniz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kokovadu","Substantivo","corcovado (Caranx hippos)T07         kôvêw n. coveiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kola","Substantivo","cola kparara ideo. cf. seku kpararaT12","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ku","Preposição","com","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kôli","Expressão","forma reduzida de ku + êliL08         ku ami prep. comigo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kômêmôrasan","Substantivo","comemoração ku atxi prep. contigo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"komesa","Verbo","começar Kuba top. Cuba","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"komesandu","Verbo","começando kubi petepete expr. tempo nublado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"komexyantxi","Substantivo","comerciante kubi upa expr. defender uma causa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Kompanhya","Topónimo","Companhia kuda 1. v. achar; 2. v. imaginar;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"koneeta","Substantivo","corneta 3. v. pensar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"konfarya","Substantivo","confraria kudi v. responder","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"konhan","Substantivo","pênis kufungu n. kufungu. Prato típico","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"konkon","Substantivo","konkon                                  sal, farinha de milho cozida","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kukuku","Substantivo","coruja","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"konsê","Verbo","conhecer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kukumba","Substantivo","saltão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"konta ope","Expressão","andar na ponta dos pés kukundya n. coco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kontu","Substantivo","conto kumba n. situação                            E04","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kontxinentxi","Substantivo","continente kumbina 1. v. combinar; 2. v. marcar         A03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"konvesa","Verbo","conversar kume v. comer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"konvêsê","Verbo","convencer kumê n. comida","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kôôsê pêxi","Expressão","escalar peixe kume awa 1. expr. beber álcool;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"koota","Verbo","cortar 2. expr. embriagar-se","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kôôtê","Substantivo","corte do Auto de Floripes,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kume-mwê","Substantivo","come-morre","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kopa","Verbo","comprar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kumi nho","Advérbio","lugar nenhum","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kopya","Verbo","copiar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kosa-kosa","Substantivo","comigo-ninguém-pode","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kunjêw","Substantivo","cozinheiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kosan","Substantivo","coração kunjuntu n. conjunto musical","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
kunu","Verbo","arrumar kwatu 1. n. quarto; 2. num. quatro ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kunvitxi","Substantivo","convite kwatusentu num. quatrocentos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kunxigi","Verbo","conseguir kwe n. colher","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kunxtusan","Substantivo","construção kwê 1. n. peixe-coelho (Lagocephalus","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kupi","Verbo","cuspir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"correr
kura","Substantivo","remédio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuratxivu","Substantivo","curativo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwê lenta","Expressão","correr para dentro de cassa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuruja","Substantivo","coruja","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwê manda","Expressão","por que","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kurukuku","Substantivo","rola-do-Senegal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Kwêda Ekwadô","Topónimo","Linha do Equador","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kusukusu-uman","Substantivo","cotovelo kwêlhu n. coelho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwentu","Substantivo","coentro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kutu kumê","Expressão","engrossar a comida kwêsa pro. o quê","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kutwa","Substantivo","cultura kyê d’ôkyê expr. perder a posição em","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuupa","Verbo","culpar um emprego","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuusu","Substantivo","curso laanza n. laranja","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"laata","Verbo","levantar                                   A04","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuuzu","Substantivo","cruz lagatxixa n. lagartixa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuvina","Substantivo","corvina lala adv. lá","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuxan","Substantivo","cozinha lambê n. peixe pega-na-pedra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuxi","Verbo","cozinhar landa v. nadar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lansa","Substantivo","lança","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kuxta","Verbo","custar Lapa top. Lapa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lava","Verbo","lavar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwa fala","Expressão","o que há de novo? leke 1. adj. desmanchando; 2. adj. mole","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwaa-kaxi","Substantivo","corda-de-casa-do-mato                  lêlê 1. v. acompanhar; 2. v. visitar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lemba","Verbo","lembrar                                    A03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwadô","Substantivo","coador","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lembalemba","Substantivo","lembalemba","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwarenta","Numeral","quarenta lenta v. entrar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"kwata-fya","Substantivo","quarta-feira lêtê n. leite","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lêtxixixta","Substantivo","eletricista loza 1. n. loja; 2. n. mercearia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Luja","Substantivo","Luzia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lextxi","Substantivo","leste luji 1. v. brilhar; 2. v. luzir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"li","Pronome","3SG.OD lunge 1. n. idioma; 2. n. língua ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"libedadi","Substantivo","liberdade lung’Ie 1. n. lung’Ie; 2. n. principense","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"libô","Substantivo","libô (Vernonia amygdalina)T09             luta v. lutar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"libô-awa","Substantivo","libô-awa (Struchium                    lutu n. luta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ma","Conjunção","cf. maxiC03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lifyatxi","Substantivo","alfaiate maa v. amarrar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"likatxi","Substantivo","alicate Maa Kwaa top. Maria Correia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"limpa","Verbo","limpar maaka 1. n. marca; 2. n. tipo              A03,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"maakita","Substantivo","malagueta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"maasu","Substantivo","março","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"limpadô","Substantivo","limpador","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Maginu","Antropónimo","Magno","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"limpu penepene","Expressão","muito limpo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"maji","Conjunção","mas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"limpu pyenepyene","Expressão","makêkê n. jiló","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lipeta","Substantivo","lipeta. Tipo de dança tradicional","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"makunga","Substantivo","makunga. Doce típico","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lisan","Substantivo","lição feito com milho, coco, malagueta, açúcar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lisêw","Substantivo","liceu e sal, cozido em folha de bananeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"livu","Substantivo","livro mali 1. adj. mau; 2. adv. mal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lixta","Substantivo","lista                             E06    malimentê adv. mais ou menos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mama","Verbo","mamar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lobadu-ngoma","Substantivo","lobadu-ngoma.                      maman n. mamão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mampata","Substantivo","resíduo de óleo de palma","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mana","Substantivo","irmã","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"logu","Advérbio","logo manda v. mandar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lola","Substantivo","rola manda ubuka expr. insultar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lola-ize","Substantivo","rola vermelha mandya n. madrinha                             N09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lola-peetu","Substantivo","rola preta manga 1. n. manga; 2. v. troçar ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lola-umwe","Substantivo","rola-do-mar manga-makaku n. manga-maluca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lolo","Verbo","lamber mani v. lavar roupa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"lombô","Substantivo","ombro manse 1. n. homem; 2. n. rapaz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"longu","Substantivo","largura Mantalegi top. Monte Alegre","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mantê","Verbo","manter","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
mantega","Substantivo","manteiga mêsê 1. v. amar; 2. v. gostar; 3. v. querer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mantximentu","Substantivo","mantimentos mesu adv. mesmo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"manu","Substantivo","irmão metedi 1. n. centro; 2. n. meio;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"manxa","Substantivo","marcha 3. n. metade ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"manya","Verbo","maneirar metu n. metro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mara","Verbo","amarrar mê-unôtxi n. meia-noite","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mara uman","Expressão","casar-se meze n. mesa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"marapyan","Substantivo","unha-preta (Polyalthia oliveri)T09   mêzê n. mesa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"masan","Substantivo","maçã mi pro. 1SG.OD","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"masariku","Substantivo","maçarico-galego                       miga n. amiga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"migu","Substantivo","amigo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Maselu","Antropónimo","Marcelo mili num. mil","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mata","Verbo","matar mina v. escorrer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mata igbê","Expressão","suicidar-se mindi v. medir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"matximatxika","Substantivo","matemática 4. n. filha; 5. n. filho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"maxi","Advérbio","mais mixikitu n. mosquito. Tipo de tempero","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"maxinêw","Substantivo","marceneiro mo adv. cf. modiC15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"maxipombô","Substantivo","maxipombô                            modeenu n. jovem                                  A01","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"maxkan","Substantivo","manjericão 3. pro. como","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mayu","Substantivo","maio modomu n. modomu. Personagem de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mbasa","Substantivo","costela","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mbêrêrê","Substantivo","mbêrêrê. Tipo de dança","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"môlombi","Substantivo","amendoim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"me","Pronome","1SG.POSS momoli adj. mole                                  A03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"meelu","Substantivo","melro (Turdus merula)T06                mondyoko n. mandioca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mekaniku","Substantivo","mecânico montxi adv. muito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"menda","Verbo","emendar montxya v. caçar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"môôdê","Verbo","morder","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"môrêra","Substantivo","amoreira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Menkoni","Topónimo","Pico Menkoni môrô n. mouro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"menu","Advérbio","menos môsan n. erva-cacho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mosu","Substantivo","rapaz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"moto","Substantivo","moto mwê v. morrer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"môxê","Verbo","misturar mwêru n. mouro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"môxê ope","Expressão","ir depressa mwin n. mãe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"môyô","Substantivo","penca de banana mwin-gaani n. avó                       N09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"môyô-kangadu","Substantivo","môyô-kangadu. Prato               mwin-kaki n. mãe-de-caqui","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"myansa","Verbo","ameaçar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufôgu","Substantivo","molho no fogo. Prato              mye n. esposa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"myê","Substantivo","mulher","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"muba","Substantivo","fedegoso n pro. 1SG.SUJ","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mufinu","Substantivo","cobra gita (Boaedon","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"na salasa","Expressão","entre pessoas próximas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mukeka","Substantivo","moqueca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"na sêbê","Expressão","de fato","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"munda","Verbo","mudar(-se)","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"naani","Substantivo","avó","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"munke","Substantivo","pomba-preta (Aplopelia                   nasê v. nascer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Natali","Substantivo","Natal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"munsan","Substantivo","época nda v. andar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"musa","Verbo","mostrar nda dêsê expr. ir para baixo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"musafi","Substantivo","musafiT09                              nda subi expr. ir para cima","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"musan","Substantivo","azeda-da-Guiné (Hibiscus                 ndika v. indicar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ne","Expressão","né","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"musanda","Substantivo","musanda (Ficus annobonensis)T09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nêginha","Substantivo","negrinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"musan-impin","Substantivo","batata-pim-pim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nêli","Pronome","nele","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nengu","Substantivo","empregado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"musegu","Substantivo","morcego","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ngola","Substantivo","angolar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mutambu","Substantivo","armadilha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nha","Advérbio","sim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mutendê","Substantivo","broto de palmeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"inhan","Advérbio","sim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mutete","Substantivo","cesto feito com folha de palmeiraT02","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nhanu","Verbo","arranhar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mutu","Advérbio","muito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nhe kadya","Expressão","sentar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"muvimenta","Verbo","movimentar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nhe uku","Expressão","sentar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"muzenge","Substantivo","muzenge. Prato típico de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
